Date, Actual rev ,Forecast rev
1-Apr-19,"5,293,493,872",
1-May-19,"5,690,714,330",
1-Jun-19,"5,335,686,865",
1-Jul-19,"5,133,927,013",
1-Aug-19,"5,526,627,903",
1-Sep-19,"4,923,919,224",
1-Oct-19,"4,766,681,314",
1-Nov-19,"5,151,234,513",
1-Dec-19,"5,596,390,168",
1-Jan-20,"4,714,277,778",
1-Feb-20,"5,785,885,168",
1-Mar-20,"4,491,936,078",
1-Apr-20,"126,146,951",
1-May-20,"2,054,805,158",
1-Jun-20,"3,981,350,992",
1-Jul-20,"3,791,765,421",
1-Aug-20,"3,814,722,471",
1-Sep-20,"904,216,689",
1-Oct-20,"537,715",
1-Nov-20,"316,725",
1-Dec-20,"9,493,002,687",
1-Jan-21,"15,971,518,995",
1-Feb-21,"14,295,625,184",
1-Mar-21,"15,479,655,571",
1-Apr-21,"10,767,261,353",
1-May-21,"2,430,537,536",
1-Jun-21,"11,236,992,585",
1-Jul-21,"18,495,392,504",
1-Aug-21,"14,453,936,694",
1-Oct-21,"15,342,343,494",
1-Nov-21,"17,847,084,906",
1-Dec-21,"19,893,027,297",
1-Jan-22,"22,033,780,751",
1-Feb-22,"17,194,732,864",
1-Mar-22,"20,046,212,700",
1-Apr-22,"20,118,955,587",
1-May-22,"18,097,063,183",
1-Jun-22,"17,645,042,358",
1-Jul-22,"15,832,340,843",
1-Aug-22,"17,569,102,211",
1-Sep-22,"17,472,089,399",
1-Oct-22,"15,396,095,586",
1-Nov-22,"17,433,741,779",
1-Dec-22,"19,550,145,102",
1-Jan-23,"16,447,058,084",
1-Feb-23,"17,261,438,395",
1-Mar-23,"21,022,214,019","21,022,214,019"
1-Apr-23,,"19,010,471,822"
1-May-23,,"15,885,394,279"
1-Jun-23,,"16,411,153,439"
1-Jul-23,,"18,717,679,360"
1-Aug-23,,"17,739,671,990"
1-Sep-23,,"17,766,050,001"
1-Oct-23,,"16,818,772,090"
1-Nov-23,,"19,160,854,747"
1-Dec-23,,"21,937,111,268"
